Date,Offense,Street,Sub,Zip,Area
9/13/2003,POSSESSION OF MARIJUANA,MERIMAC TRAIL,228,23185,300
9/13/2003,RECKLESS - GENERAL,MERIMAC TRAIL,228,23185,300
9/26/2003,RECKLESS DRIVING - PRIVATE PROPERTY (SEE CODE) [CL MERIMAC TRAIL,,228,23185,300
9/26/2003,REFUSE BLOOD/BREATH TEST,MERIMAC TRAIL,228,23185,300
12/10/2003,REFUSE BLOOD/BREATH TEST,MERIMAC TRAIL,228,23185,300
2/6/2003,POSSESSION OF MARIJUANA,MERIMAC TRAIL & ROCHAMBEAU RO 228,,23185,300
6/27/2003,"DRUGS, POSSESS COCAINE",MERIMAC TRAIL @ CARVER GARDEN,228,23185,300
8/28/2003,DRIVING UNDER THE INFLUENCE OF ALCOHOL,MERIMAC TRAIL @ JAMES YORK PLA,228,23185,300
8/28/2003,DRIVING W/SUSPENDED OR REVOKED LICENSE,MERIMAC TRAIL @ JAMES YORK PLA,228,23185,300
8/28/2003,REFUSE BLOOD/BREATH TEST,MERIMAC TRAIL @ JAMES YORK PLA,228,23185,300
12/27/2003,DRIVING W/SUSPENDED OR REVOKED LICENSE,MERIMAC TRAIL @ PENNIMAN ROAD,228,23185,300
5/30/2003,DRIVING UNDER THE INFLUENCE OF ALCOHOL,MERIMAC TRAIL @ RT 132,228,23185,300
5/30/2003,REFUSE BLOOD/BREATH TEST,MERIMAC TRAIL @ RT 132,228,23185,300
12/28/2003,DRIVING UNDER THE INFLUENCE OF ALCOHOL,MERIMAC TRAIL @ RT 199,228,23185,300
12/28/2003,DRIVING W/SUSPENDED OR REVOKED LICENSE,MERIMAC TRAIL @ RT 199,228,23185,300
5/4/2003,DRUNK IN PUBLIC,MERIMAC TRAIL @ SUBURBAN PROP,228,23185,300
9/2/2003,DRIVING UNDER THE INFLUENCE OF ALCOHOL,MERIMAC TRAIL @ TAM O SHANTER,228,23185,300
5/13/2003,DRIVING UNDER THE INFLUENCE OF ALCOHOL,MERIMAC TRAIL AND COUNTY LINE,228,23185,300
5/26/2003,DRIVING W/SUSPENDED OR REVOKED LICENSE,MERIMAC TRAIL AND COUNTY LINE,228,23185,300
5/13/2003,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGMERIMAC TRAIL AND COUNTY LINE,,228,23185,300
11/4/2003,DRIVING UNDER THE INFLUENCE OF ALCOHOL,MERIMAC TRAIL AND PENNIMAN ROA 228,,23185,300
11/4/2003,OPERATE MOTOR VEHICLE -HABITUAL OFFENDER,MERIMAC TRAIL AND PENNIMAN ROA 228,,23185,300
4/11/2003,DRIVING UNDER THE INFLUENCE OF ALCOHOL,MERIMAC TRAIL AND RT 199,228,23185,300
